dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,4,Logistic Regression,0.0,114,3,0.9736842105263158,0.9816401188186931,0.9849421290873631,0.8594657388779051,9.016710635714848,9.200658970265183,2.210622257352486,0.6666666666666666,,,,,
Breast Cancer,4,Logistic Regression,0.25,114,3,0.9736842105263158,0.9810795078684847,0.9857564830899532,0.8080314246741489,9.128363248390068,9.327745274739733,1.7512282734524147,0.3333333333333333,,,,,
Breast Cancer,4,Logistic Regression,0.5,114,4,0.9649122807017544,0.9742289988899271,0.9812916196472596,0.7800069280632812,9.064319609812351,9.317528287839894,2.101080964054909,0.5,,,,,
Breast Cancer,4,Logistic Regression,1.0,114,7,0.9385964912280702,0.9665948952214681,0.9783327480383146,0.7871734307353898,9.265651691356455,9.744134695868377,1.9516971938170364,0.42857142857142855,,,,,
Breast Cancer,4,Logistic Regression,1.5,114,15,0.868421052631579,0.9569329941002953,0.9685589677165325,0.8802015682331296,9.808494291860951,10.809200392216937,3.2038340295114502,0.6666666666666666,,,,,
Breast Cancer,4,Logistic Regression,2.0,114,20,0.8245614035087719,0.961575464951162,0.9728225148826519,0.9087143302731592,10.635125339186871,11.70429637726704,5.610021460210082,0.75,,,,,
Breast Cancer,4,Random Forest,0.0,114,10,0.9122807017543859,0.9341781954887218,0.9625977106227105,0.6386152380952381,0.8683563909774437,0.9251954212454212,0.27723047619047625,0.1,0.9319649122807018,0.6336,0.22820320819995113,0.8839050238358659,-0.9866229729401214
Breast Cancer,4,Random Forest,0.25,114,6,0.9473684210526315,0.8995798384851018,0.9165216196355085,0.5946277777777776,0.7991596769702033,0.8330432392710171,0.18925555555555543,0.0,0.8958245614035089,0.5846666666666668,0.3435031076544225,0.9698701102845781,-0.9861580303722927
Breast Cancer,4,Random Forest,0.5,114,6,0.9473684210526315,0.8545606655527709,0.8692176366843034,0.5907351851851853,0.7091213311055415,0.7384352733686067,0.18147037037037042,0.0,0.8459999999999999,0.5873333333333334,0.4988060494187401,0.9419685708226423,-0.9808371762955165
Breast Cancer,4,Random Forest,1.0,114,14,0.8771929824561403,0.7316667641325537,0.7523653174603174,0.5838199546485262,0.4633335282651072,0.5047306349206349,0.1676399092970522,0.0,0.7215087719298245,0.5951428571428572,0.7752709696873368,0.9490174019475276,-0.9490910596587039
Breast Cancer,4,Random Forest,1.5,114,20,0.8245614035087719,0.7032146616541354,0.7276572441742652,0.5883345238095238,0.40642932330827064,0.45531448834853094,0.17666904761904761,0.0,0.6997894736842105,0.6244,0.828066091508367,0.9382776424755817,-0.9163323143976407
Breast Cancer,4,Random Forest,2.0,114,21,0.8157894736842105,0.6570508493455862,0.6717116060761221,0.5921246409674983,0.3141016986911724,0.3434232121522444,0.18424928193499623,0.0,0.6609473684210526,0.6371428571428571,0.8788161788402007,0.9217374804779843,-0.903310543892035
Breast Cancer,4,Gradient Boosting,0.0,114,5,0.956140350877193,0.9699423928491248,0.977873497923724,0.7970443022228613,6.205445700420997,6.396314749303917,2.0445004347733535,0.4,,,,,
Breast Cancer,4,Gradient Boosting,0.25,114,6,0.9473684210526315,0.9553225485833168,0.9703469506374149,0.6848833116095464,5.617440892428949,5.871266184363798,1.048585637601651,0.16666666666666666,,,,,
Breast Cancer,4,Gradient Boosting,0.5,114,5,0.956140350877193,0.9512544238219527,0.9576255267341922,0.812364380335134,4.931069613678205,5.058591538326481,2.151091656345831,0.4,,,,,
Breast Cancer,4,Gradient Boosting,1.0,114,14,0.8771929824561403,0.9081698088902973,0.924814090268462,0.7892820847605504,3.4556333594979503,3.7033853578884215,1.6859762281374462,0.2857142857142857,,,,,
Breast Cancer,4,Gradient Boosting,1.5,114,20,0.8245614035087719,0.8956833531845536,0.9256711032928072,0.7547409276757613,3.213281316772309,3.500361278305947,1.8640054975642137,0.3,,,,,
Breast Cancer,4,Gradient Boosting,2.0,114,29,0.7456140350877193,0.8520693553457037,0.870426708650511,0.7982633197971307,2.5519951149145945,2.8022287802758377,1.8185516129937063,0.2413793103448276,,,,,
Breast Cancer,5,Logistic Regression,0.0,114,2,0.9824561403508771,0.9578550945757143,0.9639644462906276,0.6157313985405684,7.169296049562806,7.288874906461069,0.47288006326012294,0.0,,,,,
Breast Cancer,5,Logistic Regression,0.25,114,1,0.9912280701754386,0.9594456856071572,0.9616572165724008,0.7095426865346327,7.2691226687854735,7.3255470814725685,0.8931640351436879,0.0,,,,,
Breast Cancer,5,Logistic Regression,0.5,114,3,0.9736842105263158,0.9573227117485591,0.9656672363330977,0.6485753021206376,7.157411010410288,7.333823433348608,0.6301513616924755,0.0,,,,,
Breast Cancer,5,Logistic Regression,1.0,114,12,0.8947368421052632,0.9466919325791107,0.9574226450311036,0.8554808767371701,7.1594879767132245,7.6925729595334005,2.628265622741728,0.4166666666666667,,,,,
Breast Cancer,5,Logistic Regression,1.5,114,14,0.8771929824561403,0.9559515389730412,0.968870112630038,0.8636760128516346,8.22911839760153,9.02542466404821,2.5412164944109485,0.5,,,,,
Breast Cancer,5,Logistic Regression,2.0,114,24,0.7894736842105263,0.9612903711335367,0.9804859898071814,0.8893068011073687,9.121487633447362,10.534425289336346,3.8229714238636703,0.5416666666666666,,,,,
Breast Cancer,5,Random Forest,0.0,114,4,0.9649122807017544,0.9243133667502088,0.9347753246753245,0.6366095238095237,0.8486267335004176,0.8695506493506493,0.2732190476190476,0.0,0.9226666666666666,0.648,0.27933912363500785,0.8955803959076231,-0.9880171889927715
Breast Cancer,5,Random Forest,0.25,114,6,0.9473684210526315,0.9055093149540517,0.9218011904761906,0.6122555555555556,0.8110186299081036,0.8436023809523809,0.2245111111111111,0.0,0.9014736842105263,0.6213333333333334,0.3621550177127033,0.935170511667493,-0.9830132322111806
Breast Cancer,5,Random Forest,0.5,114,7,0.9385964912280702,0.8499857978279031,0.8642369826435247,0.6321462585034013,0.6999715956558062,0.7284739652870494,0.2642925170068028,0.0,0.8401403508771931,0.637142857142857,0.5323003599698408,0.9119428079432039,-0.9795805967864094
Breast Cancer,5,Random Forest,1.0,114,17,0.8508771929824561,0.732166081871345,0.756925380461463,0.5908924369747899,0.46433216374269004,0.5138507609229259,0.1817848739495798,0.0,0.7306666666666667,0.6343529411764707,0.7606142092949081,0.9234397242703243,-0.9568209688860412
Breast Cancer,5,Random Forest,1.5,114,15,0.868421052631579,0.6859813700918965,0.7004488696488699,0.5904958730158729,0.3719627401837928,0.4008977392977393,0.18099174603174595,0.0,0.683719298245614,0.6314666666666667,0.8368746090330557,0.9338465730525228,-0.9368251210991486
Breast Cancer,5,Random Forest,2.0,114,28,0.7543859649122807,0.6659980785296574,0.6838184939091917,0.6112639455782312,0.33199615705931496,0.3676369878183832,0.22252789115646246,0.0,0.6729473684210526,0.652142857142857,0.8594370862094575,0.915837072997438,-0.9192090327317605
Breast Cancer,5,Gradient Boosting,0.0,114,3,0.9736842105263158,0.9822203986154614,0.9866952284610675,0.8166516943280299,5.808143429247699,5.919595392077434,1.6844208045474798,0.3333333333333333,,,,,
